"TRE ACR Report"
"PORTFOLIO","POS_CUR_PAR","POS_DATE","POS_FACE","MKT_PRICE","SOURCE","CLIENT_SEC_TYPE","SEC_CURRENCY","CLIENT_ID","BOOK_TYPE","BOOK_PRICE","BOOK_FX_RATE","BOOK_VALUE","BOOK_DATE","BOOK_TYPE_2","BOOK_PRICE_2","BOOK_VALUE_2","BOOK_DATE_2","BOOK_TYPE_3","BOOK_PRICE_3","BOOK_VALUE_3","BOOK_DATE_3","BOOK_YIELD","BOOK_YIELD_2","BOOK_YIELD_3","STRATEGY"
"JPDACRTRE","49,237,500.00","06/02/2020","49,237,500.00","100.056802600000000","ACR","LOAN","USD","ACR007396","","","","","","","","","","","","","","","","",""
"USDACRTRE","20,366,893.05","06/02/2020","25,000,000.00","100.133004100000000","ACR","LOAN","USD","ACR007428","","","","","","","","","","","","","","","","",""
"JPDACRTRE","56,000,000.00","06/02/2020","56,000,000.00","101.490800900000000","ACR","LOAN","USD","ACR007441","","","","","","","","","","","","","","","","",""
"USDACRTRE","7,790,853.02","06/02/2020","9,000,000.00","100.133035500000000","ACR","LOAN","USD","ACR007474","","","","","","","","","","","","","","","","","FHLA11"
"JPDACRTRE","1,262,500.00","06/02/2020","1,262,500.00","100.000000000000000","ACR","LOAN","USD","ACR007536","","","","","","","","","","","","","","","","",""
"USDACRTRE","625,000.00","06/02/2020","625,000.00","100.000000000000000","ACR","LOAN","USD","ACR007537","","","","","","","","","","","","","","","","",""
"JPDACRTRE","69,508,312.08","06/02/2020","76,109,681.00","100.068539100000000","ACR","LOAN","USD","ACR007555","","","","","","","","","","","","","","","","",""
"USDACRTRE","24,830,626.42","06/02/2020","25,000,000.00","102.028242500000000","ACR","LOAN","USD","ACR007573","","","","","","","","","","","","","","","","","FHLA3"
"JPDACRTRE","0.01","06/02/2020","1,560,440.00","","ACR","LOAN","USD","ACR007580","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.01","06/02/2020","439,560.00","","ACR","LOAN","USD","ACR007581","","","","","","","","","","","","","","","","",""
"USDACRTRE","24,375,000.00","06/02/2020","24,375,000.00","100.056800900000000","ACR","LOAN","USD","ACR007592","","","","","","","","","","","","","","","","",""
"USDACRTRE","11,322,563.31","06/02/2020","12,397,894.00","100.068623700000000","ACR","LOAN","USD","ACR007647","","","","","","","","","","","","","","","","",""
"JPDACRTRE","27,300,000.00","06/02/2020","27,300,000.00","100.052801600000000","ACR","LOAN","USD","ACR007677","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","99.973414530000000","ACR","LOAN","USD","ACR007741","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.00","06/02/2020","0.00","100.000000000000000","ACR","LOAN","USD","ACR007742","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.00","06/02/2020","0.00","100.000000000000000","ACR","LOAN","USD","ACR007743","","","","","","","","","","","","","","","","",""
"USDACRTRE","22,787,239.74","06/02/2020","25,000,000.00","100.043729300000000","ACR","LOAN","USD","ACR007771","","","","","","","","","","","","","","","","",""
"USDACRTRE","21,912,215.58","06/02/2020","25,000,000.00","100.020366500000000","ACR","LOAN","USD","ACR007968","","","","","","","","","","","","","","","","",""
"JPDACRTRE","700,000.00","06/02/2020","700,000.00","100.000000000000000","ACR","LOAN","USD","ACR008181","","","","","","","","","","","","","","","","",""
"JPDACRTRE","3,533,143.07","06/02/2020","3,836,825.00","100.000000000000000","ACR","LOAN","USD","ACR008405","","","","","","","","","","","","","","","","",""
"USDACRTRE","575,531.93","06/02/2020","625,000.00","100.000000000000000","ACR","LOAN","USD","ACR008406","","","","","","","","","","","","","","","","",""
"JPDACRTRE","67,149,177.60","06/02/2020","73,526,494.00","100.068513200000000","ACR","LOAN","USD","ACR008497","","","","","","","","","","","","","","","","",""
